Time (s),Channel 1 (V),Channel 2 (V)
0.00199045,2.090469327,2.262776471
0.0019965,2.093076921,2.264701134
0.00200255,2.095386505,2.266550319
0.0020086,2.097435329,2.268097597
0.00201465,2.101383973,2.271607275
0.0020207,2.104736594,2.274324446
0.00202675,2.106710916,2.275645292
0.0020328,2.109206756,2.277645432
0.00203885,2.111590843,2.28017391
0.0020449,2.113602416,2.282740126
0.00205095,2.116508021,2.284966696
0.002057,2.120084151,2.287306482
0.00206305,2.122654494,2.289570791
0.0020691,2.124964078,2.291721884
0.00207515,2.12779518,2.294590008
0.0020812,2.13081254,2.297495871
0.00208725,2.132935867,2.299609226
0.0020933,2.134984691,2.30172258
0.00209935,2.138337312,2.304930351
0.0021054,2.141093912,2.307572044
0.00211145,2.143254491,2.309723138
0.0021175,2.14515431,2.311987446
0.00212355,2.146793369,2.313836632
0.0021296,2.149549969,2.317082141
0.00213565,2.15234382,2.320780512
0.0021417,2.153573115,2.322252312
0.00214775,2.155435682,2.324403405
0.0021538,2.158043277,2.327611176
0.00215985,2.160166604,2.330064177
0.0021659,2.16225268,2.332403963
0.00217195,2.163444723,2.334328625
0.002178,2.165940563,2.338291165
0.00218405,2.168808917,2.341725367
0.0021901,2.169367688,2.342932998
0.00219615,2.170708736,2.345310522
0.0022022,2.17357709,2.349386278
0.00220825,2.17521615,2.352103448
0.0022143,2.175700417,2.353424295
0.00222035,2.177264974,2.356481111
0.0022264,2.179053039,2.35972662
0.00223245,2.180766601,2.362594745
0.0022385,2.182740923,2.366293116
0.00224455,2.182815425,2.367764916
0.0022506,2.182740923,2.36916124
0.00225665,2.184007468,2.372331272
0.0022627,2.185572025,2.375463566
0.00226875,2.186279801,2.377690136
0.0022748,2.187062079,2.380331829
0.00228085,2.188105117,2.383426384
0.0022869,2.188775641,2.386294509
0.00229295,2.189148155,2.388898464
0.002299,2.189148155,2.391087295
0.00230505,2.18929716,2.39346482
0.0023111,2.189632422,2.395842344
0.00231715,2.19011669,2.398672729
0.0023232,2.190340198,2.401767285
0.00232925,2.190153941,2.404182547
0.0023353,2.190600958,2.406824241
0.00234135,2.190861717,2.409616888
0.0023474,2.190489203,2.412107627
0.00235345,2.190042187,2.414258721
0.0023595,2.189483417,2.416636245
0.00236555,2.188887395,2.419504369
